trait,fold,facebook_mae,pan15_mae,full_mae,facebook_rmse,pan15_rmse,facebook_mse,pan15_mse,full_mse
OPN,0,0.119296358095275,0.09798779002690722,0.10606261582123609,0.15108015519138274,0.11615338382592567,0.36520340915642807,0.21586571999286583,0.27245684430747885
OPN,1,0.11644316891829172,0.09858194185515584,0.10535040622008475,0.14148423579855943,0.12669880403890463,0.32028460648876966,0.2568413864111857,0.2808830172288172
OPN,2,0.10305361231168113,0.10994495759576056,0.10733350043547783,0.13506955632491302,0.1274582621489297,0.29190056716034,0.2599297336867814,0.27204499689781414
OPN,3,0.1149412339074271,0.10529248168912987,0.10888510219594268,0.15658233458387275,0.12745346635090557,0.39228842893017496,0.2599101816595418,0.30919995457945837
OPN,4,0.1245478478159223,0.10596081408961068,0.11295593430919033,0.15201078214792124,0.12953716783240757,0.36971644252850366,0.26847803590370467,0.30657851151518817
CON,0,0.14602433260944156,0.10182153148166205,0.11857206664587323,0.17646432813822666,0.1304574131064062,0.49823454234302506,0.27230617875222635,0.35792113758663424
CON,1,0.1545724189943737,0.12151151087324502,0.134039855003357,0.20235924794290935,0.14467555791960313,0.6551882436483178,0.33489627578630676,0.4562700741340162
CON,2,0.11176888508929145,0.10794898099818472,0.10939652360113045,0.13819030091559484,0.1369628290428125,0.30554494853328595,0.30014106357520604,0.30218885155932057
CON,3,0.18275975040027073,0.12813263444577233,0.14847251804585151,0.234573443831415,0.1578926799909764,0.8803952008350032,0.3988815760829408,0.5781685640225385
CON,4,0.148062860420772,0.10238534828712202,0.11957580984279674,0.18752839128802254,0.13123176363017056,0.5626703714212926,0.27554841245998934,0.3836050636819851
EXT,0,0.19942716591888004,0.10649458109322242,0.14171113955347162,0.2393790254833062,0.13548239958907038,0.9168370854613976,0.293687698474792,0.5298285188065583
EXT,1,0.17943192349539863,0.11161017023910912,0.13731104515728199,0.21380303617826146,0.14024170576642203,0.7313878124646875,0.3146837841665383,0.4725926791005737
EXT,2,0.2139965968661838,0.11455042887542209,0.15223529253507911,0.2500511765621309,0.15117823899040794,1.0004094457726882,0.36567774915260665,0.6062076552402162
EXT,3,0.13043553318296164,0.10945021479816759,0.11726389717548452,0.16991571343074158,0.15026383313189667,0.4619415947308463,0.3612675263853173,0.39875255183312064
EXT,4,0.1730737799576351,0.1347108920072687,0.14914853801009478,0.21557436449027537,0.16366459431973077,0.7435568993528208,0.42857761924183874,0.547118208530918
AGR,0,0.11576888077788881,0.11971066220331998,0.11821693450526184,0.13933920650361317,0.1530816904676074,0.31064663150490485,0.3749440633027258,0.3505787207267095
AGR,1,0.10917031632529364,0.11898352352239319,0.11526483447928176,0.1502463537913008,0.16344841525560785,0.3611834589858641,0.42744615178129614,0.40233607872197447
AGR,2,0.11811962107817335,0.10582561300972759,0.1104843950146123,0.143529357538668,0.14008639926612731,0.3296108406635391,0.31398719525319113,0.31990773456658617
AGR,3,0.13893249382291523,0.11183258012189704,0.12192297352121231,0.17284971514461112,0.1453913923978598,0.47803238440917123,0.33821850659045133,0.3902768653527407
AGR,4,0.15961247280665805,0.11215388774871826,0.1300146455662225,0.19214296361340372,0.13818184392901264,0.5907026917014443,0.3055075499818215,0.4128390549300665
NEU,0,0.17856183590160477,0.2053879967685473,0.195222293389471,0.23363989950780498,0.24413584199376795,0.873401678794702,0.9536369037869398,0.9232319676756765
NEU,1,0.14674228698015213,0.17939369325226145,0.16702052877019896,0.18207327880806498,0.21642676157934135,0.5304108602808248,0.7494486717387934,0.6664448695020896
NEU,2,0.17503155185116662,0.14389355324082453,0.15569321571525774,0.21005612984857724,0.17588808168857786,0.7059772429913975,0.4949858845275343,0.5749405010447932
NEU,3,0.15716552599838804,0.16653573333711946,0.16304682634929393,0.18515881874048518,0.20283197006673415,0.5485405875994217,0.6582529585071331,0.6174026076372406
NEU,4,0.1551457804952349,0.15505909310846494,0.15509171739380848,0.18260890658528628,0.18893234388444327,0.5335362180933467,0.5711268809536902,0.5569798572965718
